capability_id,user_purpose,target_users,entry_routes,source_files,canonical_types,providers_stores,persistence_layer,server_runtime_dependency,environment_requirements,authorization_boundary,tests,screenshots,accessibility_state,localization_state,security_risks,legal_privacy_risks,integration_status,duplicated_alternatives,recommended_disposition,migration_impact,confidence_level,unresolved_questions
CAP-001,Spatial World Intelligence interactive globe home,all users,/; PlatformHome,components/spatial-world/*; lib/spatial-world/*; lib/world-map.ts,country geo features,none (page-mounted),static Natural Earth + in-memory selection,static export only,none,public,scripts/test-spatial-world-intelligence.ts,docs/verification/spatial-world-screenshots/,PARTIAL keyboard/globe,lib/i18n/platform-copy-spatial-world.ts,low (client viz),none special,PROVEN_AND_INTEGRATED,none,KEEP,none,high,WebGL a11y alternatives sufficiency
CAP-002,Voice Operator Realtime dock + broker,signed-in and guest,layout-global dock,components/voice-operator/*; lib/voice-operator/*; functions/api/voice/session.ts,VoiceSession; PlatformAction,VoiceOperatorProvider,sessionStorage cbai-voice-operator-session; localStorage onboarding/pending intent,Cloudflare Pages Function + OpenAI Realtime,OPENAI_API_KEY; VOICE_ALLOWED_ORIGINS; NEXT_PUBLIC_VOICE_BROKER_URL,origin allowlist only on broker; guest action policy,scripts/test-voice-*.ts; test-auth-collaboration-voice-os.ts,docs/verification/voice-*; auth-collaboration-voice-os/,text+keyboard equivalents PARTIAL,EN/UZ/RU/TR identity+operator copy,UNSAFE: broker mint without user auth/rate limit; mic lifecycle,voice transcript privacy,PARTIAL,lib/intelligence agents ORPHANED alternative,KEEP+REFACTOR broker auth,none data,medium,live Realtime E2E EXTERNAL_BLOCKED without valid key
CAP-003,Voice Command Orchestrator / Operating Navigator,all users with voice,via VoiceOperator,lib/voice-operator/commands/*; lib/platform-actions/*; lib/voice-operator/identity/*,PlatformAction; ActionLevel 0-3,VoiceOperatorProvider,pending auth intent localStorage,client + optional Realtime tools,same as CAP-002,auth-action-policy guest gates; Level 3 confirmation,test-voice-command-orchestrator; test-voice-operating-navigator; test-voice-platform-operator,docs/verification/voice-command-orchestrator/; voice-operating-navigator/,confirm gates; text prepare flows,platform-copy + dictionaries,prompt injection / ambiguous publication,must not auto-publish,PROVEN_AND_INTEGRATED,legacy voice/ vs voice-operator,KEEP,none,high,pathname mic teardown policy oscillated; current=survive nav
CAP-004,Operational Object System,researchers,/my-work; layout provider,lib/operational-objects/*; components/operational-objects/*,OperationalObject,OperationalObjectProvider,localStorage cbai-operational-objects,none,none,device-local or cloud sign-in soft,scripts/test-operational-objects.ts,docs/verification/operational-object-system/,PARTIAL,i18n present PARTIAL,XSS if rich text later,user content ownership,PROVEN_AND_INTEGRATED,ontology objects parallel,KEEP; MERGE with ontology carefully,preserve unknown fields,high,relationship to Project/Mission clarity
CAP-005,Projects + tasks + notes,researchers,/my-work,lib/project/*; components/project/*,Project; ProjectTask,MyWork + mission context,cbai-projects; cbai-project-*,optional Supabase sync paths,NEXT_PUBLIC_SUPABASE_*,auth soft,test-project-engine,docs/verification/final-intelligence-os/* my-work,PARTIAL,localized shell,localStorage spoof,private by default assumed,PROVEN_AND_INTEGRATED,genesis execution tasks DUPLICATE family,KEEP; MERGE genesis later,idempotent migrate,high,cloud sync completeness UNVERIFIED
CAP-006,Missions / Intelligence OS living memory,operators,shell-wide; /my-work,lib/intelligence-os/*; components/intelligence-os/*; components/mission/*,Mission,MissionOperatingContext,cbai-missions; cbai-current-mission-id; living-memory keys,none required,none,client,test-mission-*; test-universal-intelligence-os,final-intelligence-os screenshots,PARTIAL,PARTIAL,memory retention privacy,living memory consent,PROVEN_AND_INTEGRATED,research-mission naming overlap,KEEP,preserve keys,high,mission vs project ownership
CAP-007,Countries / Companies / Universities intelligence,public+researchers,/countries; /companies; /universities + detail,lib/countries*.ts; lib/companies*.ts; lib/universities*.ts; components/*,Country; Company; University,entity panels,static/catalog + coverage builders,static export,none,public journey,test-*-intelligence; launch-gate,docs/verification/final-intelligence-os/,PARTIAL,dictionaries + entity copy,data accuracy not legal advice,source citation,PROVEN_AND_INTEGRATED,lib/intelligence collectors tip only,KEEP,none,high,data freshness EXTERNAL
CAP-008,Research topics workspace canvas,researchers,/research; /research/[topicId]; /research/workspace; /research/canvas,lib/research*; lib/research-canvas/*; components/research/*,ResearchTopic; SavedEvidence,ResearchPageClient,cbai-research-*; canvas stores,none,none,public+personal,test-research-*; test-research-canvas,final-intelligence-os research screenshots,PARTIAL,PARTIAL,upload malware if files,copyright of uploads,PROVEN_AND_INTEGRATED,research evidence vs platform evidence DUPLICATE,KEEP; MERGE evidence models Stage1,preserve research keys,high,evidence ontology unify
CAP-009,Evidence explorer / knowledge brain,analysts,/knowledge (nav label Evidence),lib/evidence-explorer.ts; components/evidence/*; components/knowledge/*; lib/evidence-infrastructure; lib/evidence-runtime; lib/evidence-gap; lib/evidence-comparison,EvidenceCoverage; Gap; Comparison,EvidenceExplorer,cbai-saved-knowledge-sources; reviews; gap/comparison version keys,none,none,public,test-knowledge-brain; test-epic-06-evidence-trust,final-intelligence-os evidence/knowledge,PARTIAL,PARTIAL,no forensic chain,misuse as legal proof,PROVEN_AND_INTEGRATED,lib/evidence; pipeline; intelligence/evidence; research/evidence,KEEP explorer; MERGE stacks; QUARANTINE intelligence/evidence,map types carefully,medium,forensic workspace not implemented
CAP-010,Knowledge Graph + living relationships,analysts,/graph; /organization,lib/graph/*; components/graph/*; lib/living-graph; lib/living-object-network,GraphNode; LivingRelationship,GraphPageClient,cbai-living-relationships,optional supabase migrations for graph,SUPABASE optional,client + RLS if cloud,genesis graph tests; platform-shell,final-intelligence-os graph,PARTIAL,PARTIAL,IDOR if cloud misconfigured,none,PROVEN_AND_INTEGRATED,lib/intelligence/graph ORPHANED,KEEP; QUARANTINE intelligence/graph,preserve relationships,high,GraphPersonas orphan components
